"Aylik_Yas","raw","norm","percentile"
82,"101",38.39,12.3
82,"100",38.57,12.7
82,"99",38.76,13.1
82,"98",38.96,13.5
82,"97",39.15,13.9
82,"96",39.36,14.4
82,"95",39.57,14.8
82,"94",39.78,15.3
82,"93",40,15.9
82,"92",40.23,16.4
82,"91",40.47,17
82,"90",40.71,17.7
82,"89",40.97,18.3
82,"88",41.23,19
82,"87",41.51,19.8
82,"86",41.79,20.6
82,"85",42.09,21.4
82,"84",42.4,22.4
82,"83",42.73,23.4
82,"82",43.08,24.4
82,"81",43.44,25.6
82,"80",43.83,26.9
82,"79",44.25,28.3
82,"78",44.69,29.8
82,"77",45.17,31.4
82,"76",45.68,33.3
82,"75",46.25,35.4
82,"74",46.87,37.7
82,"73",47.57,40.4
82,"72",48.35,43.4
82,"71",49.23,46.9
82,"70",50.23,50.9
82,"69",51.37,55.4
82,"68",52.61,60.3
82,"67",53.92,65.3
82,"66",55.22,69.9
82,"65",56.43,74
82,"64",57.54,77.5
82,"63",58.54,80.4
82,"62",59.46,82.8
82,"61",60.29,84.8
82,"60",61.07,86.6
82,"59",61.78,88.1
82,"58",62.45,89.3
82,"57",63.08,90.5
82,"56",63.68,91.4
82,"55",64.25,92.3
82,"54",64.79,93
82,"53",65.31,93.7
82,"52",65.82,94.3
82,"51",66.3,94.8
82,"50",66.77,95.3
82,"49",67.23,95.8
82,"48",67.67,96.1
82,"47",68.1,96.5
